complaint_text,department,sentiment
"Complaint handled professionally by authorities",Electricity,Positive
"Power issue resolved without delay",Electricity,Positive
"Quick action taken during voltage problem",Electricity,Positive
"Electricity restored before expected time",Electricity,Positive
"Helpful response from electricity department",Electricity,Positive
"Fast service for transformer repair",Electricity,Positive
"Issue fixed after one complaint",Electricity,Positive
"Excellent maintenance support received",Electricity,Positive
"Electricity supply improved after complaint",Electricity,Positive
"Repair team arrived quickly",Electricity,Positive
"Street light issue resolved promptly",Electricity,Positive
"Billing mistake corrected successfully",Electricity,Positive
"Transformer maintenance completed efficiently",Electricity,Positive
"Power resumed faster than expected",Electricity,Positive
"Complaint resolved in same day",Electricity,Positive
"Good support during electricity outage",Electricity,Positive
"Power supply available as usual",Electricity,Neutral
"Electricity board updated complaint status",Electricity,Neutral
"Scheduled maintenance announced",Electricity,Neutral
"Meter inspection planned for next week",Electricity,Neutral
"Routine repair work ongoing",Electricity,Neutral
"Power interruption lasted few minutes",Electricity,Neutral
"Bill payment confirmed successfully",Electricity,Neutral
"Connection request currently processing",Electricity,Neutral
"Electricity department acknowledged request",Electricity,Neutral
"Complaint transferred to maintenance team",Electricity,Neutral
"Transformer inspection completed",Electricity,Neutral
"Power resumed after planned shutdown",Electricity,Neutral
"Electricity meter checked by technician",Electricity,Neutral
"Routine service completed in locality",Electricity,Neutral
"Power line inspection in progress",Electricity,Neutral
"Monthly electricity statement received",Electricity,Neutral
"Temporary maintenance happening nearby",Electricity,Neutral
"Electricity office confirmed complaint",Electricity,Neutral
"Meter verification process ongoing",Electricity,Neutral
"Power resumed after maintenance work",Electricity,Neutral
"Frequent electricity interruptions in evening",Electricity,Negative
"Power cut disturbed office work",Electricity,Negative
"Electricity bill increased unexpectedly",Electricity,Negative
"Voltage fluctuation affecting fans",Electricity,Negative
"Customer support taking too long",Electricity,Negative
"Transformer issue causing inconvenience",Electricity,Negative
"Power outage disturbed online meeting",Electricity,Negative
"Frequent low voltage in locality",Electricity,Negative
"Complaint not resolved yet",Electricity,Negative
"Electricity issue affecting studies",Electricity,Negative
"Street lights stopped functioning",Electricity,Negative
"Repeated power cut in neighborhood",Electricity,Negative
"Electricity office delayed response",Electricity,Negative
"Meter issue affecting billing",Electricity,Negative
"Power supply unstable today",Electricity,Negative
"Unexpected electricity shutdown happened",Electricity,Negative
"Low voltage disturbing home appliances",Electricity,Negative
"Frequent outages becoming frustrating",Electricity,Negative
"Complaint ignored multiple times",Electricity,Negative
"Power issue affecting daily routine",Electricity,Negative
"Transformer blast caused panic in locality",Electricity,Critical
"Entire area without electricity for day",Electricity,Critical
"Electric wire snapped near road",Electricity,Critical
"Voltage surge damaged multiple devices",Electricity,Critical
"Electrical sparks seen near transformer",Electricity,Critical
"Hospital facing electricity outage",Electricity,Critical
"Power not restored since last night",Electricity,Critical
"High voltage damaged refrigerator",Electricity,Critical
"Live wire creating danger for public",Electricity,Critical
"Electricity outage affecting water pumps",Electricity,Critical
"Transformer caught fire near market",Electricity,Critical
"Emergency electricity issue unresolved",Electricity,Critical
"Major blackout affecting businesses",Electricity,Critical
"Electric pole collapsed in storm",Electricity,Critical
"Severe power issue affecting hospital",Electricity,Critical
"High tension wire hanging dangerously",Electricity,Critical
"Power outage for more than 15 hours",Electricity,Critical
"Voltage fluctuation burned electronic devices",Electricity,Critical
"Emergency complaint unanswered",Electricity,Critical
"Transformer damaged after heavy rainfall",Electricity,Critical
"Critical outage affecting school exams",Electricity,Critical
"Entire building without electricity",Electricity,Critical
"Electric sparks causing fire risk",Electricity,Critical
"Repeated transformer malfunction",Electricity,Critical
"Power cut affecting medical equipment",Electricity,Critical
"Severe voltage issue damaging appliances",Electricity,Critical
"Live cable exposed near homes",Electricity,Critical
"Transformer overheating causing blackout",Electricity,Critical
"Major electricity issue affecting locality",Electricity,Critical
"Power failure during emergency situation",Electricity,Critical
"Electricity restored within one hour after reporting",Electricity,Positive
"Helpful engineer solved transformer issue quickly",Electricity,Positive
"Very smooth process for new electricity connection",Electricity,Positive
"Customer support responded politely and quickly",Electricity,Positive
"Power supply has improved significantly in area",Electricity,Positive
"Faulty street light repaired immediately",Electricity,Positive
"Electricity complaint solved without repeated follow-up",Electricity,Positive
"Fast action taken during sudden outage",Electricity,Positive
"Technician explained electricity issue clearly",Electricity,Positive
"Quick repair prevented further power interruptions",Electricity,Positive
"Electricity bill generated for current month",Electricity,Neutral
"Maintenance work scheduled in neighborhood",Electricity,Neutral
"Power resumed after brief inspection",Electricity,Neutral
"Meter checking completed successfully",Electricity,Neutral
"Routine power line inspection underway",Electricity,Neutral
"Complaint status updated in system",Electricity,Neutral
"Electricity board received service request",Electricity,Neutral
"Temporary maintenance announced for transformer",Electricity,Neutral
"Electricity meter reading recorded today",Electricity,Neutral
"Power interruption lasted for scheduled maintenance",Electricity,Neutral
"Electricity supply weak during evening hours",Electricity,Negative
"Power cuts affecting children's studies",Electricity,Negative
"Voltage issue causing inconvenience at home",Electricity,Negative
"Frequent outages disturbing office work",Electricity,Negative
"Electricity office taking too long to respond",Electricity,Negative
"Unexpected electricity interruption in afternoon",Electricity,Negative
"Complaint still pending after several days",Electricity,Negative
"Power fluctuations affecting internet connection",Electricity,Negative
"Street lights not repaired for weeks",Electricity,Negative
"Electricity bill seems unusually expensive",Electricity,Negative
"Transformer making loud noise at night",Electricity,Negative
"Power outage interrupted online classes",Electricity,Negative
"Frequent tripping in apartment building",Electricity,Negative
"Customer service not resolving issue properly",Electricity,Negative
"Electricity issue affecting household activities",Electricity,Negative
"Major transformer failure affecting multiple buildings",Electricity,Critical
"Complete blackout in locality since midnight",Electricity,Critical
"High voltage damaged television and refrigerator",Electricity,Critical
"Live electric wire fallen near playground",Electricity,Critical
"Emergency outage affecting hospital patients",Electricity,Critical
"Transformer caught fire causing panic",Electricity,Critical
"Electrical sparks seen near power station",Electricity,Critical
"Severe voltage fluctuation burned appliances",Electricity,Critical
"Power failure stopped water supply in society",Electricity,Critical
"Exposed electric cable posing danger",Electricity,Critical
"Electric pole damaged and may collapse",Electricity,Critical
"Electricity outage affecting emergency services",Electricity,Critical
"Transformer blast heard in residential area",Electricity,Critical
"Power not restored for entire day",Electricity,Critical
"Critical electricity issue risking public safety",Electricity,Critical
